Society;Givenname;Surename;Email;Strength
South Irwin Debating Society;Retha;Schmidt;Lamont.Cummings@Streich.info;1
East Ena Debating Society;Brenden;Herzog;oHeathcote@Mraz.info;3
South Carlotta Debating Society;Florian;Renner;yParker@gmail.com;0
Port Amelyview Debating Society;Orville;Marquardt;Smith.Sienna@Rohan.com;7
Port Paige Debating Society;Kirstin;Kuhn;Zula11@hotmail.com;8
East Gregoriostad Debating Society;Lucienne;Senger;Jazmyn.Christiansen@Kilback.net;5
Jettiefurt Debating Society;Solon;Klocko;Taylor.Koch@Bauch.com;0
North Breana Debating Society;Treva;Lemke;uPowlowski@hotmail.com;7
Chaddmouth Debating Society;Rosalyn;Conn;Raheem74@Lakin.com;3
Hilpertview Debating Society;Edison;Blick;iGoyette@Blick.com;4
East Ena Debating Society;Bella;Rutherford;Haley.Adolf@Reilly.com;1
North Breana Debating Society;Nikolas;Lindgren;Kemmer.Alison@yahoo.com;6
Anibalstad Debating Society;Colton;Shanahan;Casper.Annabelle@gmail.com;5
Lake Lou Debating Society;Domenica;Dooley;Dasia.Von@Satterfield.biz;5
Port Ned Debating Society;Francesca;Schinner;Reginald.Williamson@yahoo.com;1
