Team Name;Society Name;A.Givenname;A.Surename;A.Email;B.Givenname;B.Surename;B.Email
New Darrinstad I;New Darrinstad Debating Society;Rahsaan;Franecki;Aglae09@Mayer.com;Charlene;Fay;Arden24@Hamill.info
East Ena L;East Ena Debating Society;Roy;Parker;Reichel.Fanny@gmail.com;Kendall;Hermiston;Wisoky.Reginald@Treutel.org
East Lucianoside M;East Lucianoside Debating Society;Alessia;Carroll;dGusikowski@Schoen.com;Oma;Douglas;Nova32@Schoen.biz
Port Amelyview L;Port Amelyview Debating Society;Margaret;Schmitt;Stehr.Marvin@DuBuque.com;Neal;Olson;Bo93@Shields.com
Jettiefurt D;Jettiefurt Debating Society;Jonatan;Batz;Gudrun16@Bergstrom.com;Laura;Schneider;Smith.Jayce@Tromp.com
Dickifort C;Dickifort Debating Society;Stephanie;Stoltenberg;Eldora.Maggio@gmail.com;Shyann;Doyle;Leopold61@yahoo.com
Wehnerland F;Wehnerland Debating Society;Nona;Herman;Champlin.Domenick@Thiel.info;Natalia;Feil;Myrna16@Swaniawski.info
Herminiaview A;Herminiaview Debating Society;Maybelle;Braun;Berneice37@gmail.com;Ryan;Morar;Neal00@Hyatt.com
New Vivianneland D;New Vivianneland Debating Society;Alize;Gottlieb;Roberts.Damon@yahoo.com;Eugenia;Block;Ferne.Smith@Welch.com
North Virginie U;North Virginie Debating Society;Josefina;Schumm;rWilliamson@Robel.biz;Dora;Doyle;yHirthe@yahoo.com
North Oleport C;North Oleport Debating Society;Dell;Zieme;Wyman24@Nicolas.com;Otto;Quigley;wCorkery@Herman.info
Hilpertview Y;Hilpertview Debating Society;Caden;Hilpert;qMonahan@Hilpert.com;Dorothea;Berge;Treutel.Maggie@gmail.com
North Jay R;North Jay Debating Society;Bridgette;Reilly;bWard@Howell.com;Alden;Heaney;zWest@Graham.com
North Amarafurt S;North Amarafurt Debating Society;Erna;Jacobi;Feil.Lisandro@hotmail.com;Angie;Macejkovic;Merritt.Rutherford@yahoo.com
South Carlotta S;South Carlotta Debating Society;Ana;Heathcote;Jennie02@Lemke.biz;Javon;Robel;Lang.Idella@Bergnaum.net
Lake Ike B;Lake Ike Debating Society;Lenora;Moen;Walker.Lauretta@yahoo.com;Lewis;Little;dRempel@Mraz.com
North Helmer B;North Helmer Debating Society;Makayla;Murphy;Wintheiser.Josefa@Legros.com;Justine;Cormier;Cielo17@Halvorson.com
Port Ned W;Port Ned Debating Society;Pat;Murphy;Jose.Senger@yahoo.com;Letitia;Mertz;Griffin69@yahoo.com
Chaddmouth K;Chaddmouth Debating Society;Gage;Heathcote;Roberts.Shania@Schultz.com;Tiffany;McGlynn;Block.Lora@hotmail.com
North Breana W;North Breana Debating Society;Rebeca;Huels;Kohler.Mariane@McCullough.biz;Stuart;Schowalter;Ollie.Mills@Lynch.com
